Model name;Random seed;Status;Objective;Lower bound;Time;Last solution time;LB time;Solutions;LNS steps;Restarts;Branches;Fails;Memory;Int Vars;IntervalVars;Constraints;Solver;Workers;Time limit;Parameters;CPU;Date
jobshop_demirkol_cscmax_40_20_5;1;Solution;5942;5423;3600.00;793.32;0.00;631;6212166;1936;3005695238;677662269;36956416;0;800;781;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T17:28:23.561Z"
jobshop_demirkol_cscmax_40_20_6;1;Solution;6017;5589;3600.00;1290.61;0.00;635;6283574;2201;3022288212;685199633;38838784;0;800;781;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T17:30:10.965Z"
jobshop_demirkol_cscmax_40_20_8;1;Solution;5949;5426;3600.00;1451.93;0.00;734;6224792;2611;2953222115;680452242;42376704;0;800;781;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T17:41:52.695Z"
jobshop_demirkol_cscmax_40_20_9;1;Solution;6059;5501;3600.00;1238.89;0.01;764;6321611;2547;2777551333;690586765;41976832;0;800;781;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T18:28:23.588Z"
jobshop_demirkol_cscmax_50_15_10;1;Solution;6407;6001;3600.00;2717.61;0.00;729;5809869;3980;2550621327;627512500;49297600;0;750;716;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T18:30:10.992Z"
jobshop_demirkol_cscmax_50_15_3;1;Solution;6331;6029;3600.00;1688.73;0.00;674;5794811;2474;2565088393;622801897;41360128;0;750;716;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T18:41:52.721Z"
jobshop_demirkol_cscmax_50_15_4;1;Solution;6413;6123;3600.00;2818.71;0.00;778;5792231;2880;2573725252;623733235;45407488;0;750;716;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T19:28:23.615Z"
jobshop_demirkol_cscmax_50_15_6;1;Solution;6669;6331;3600.00;1640.58;0.01;705;5753343;3151;2549585658;620436780;43159744;0;750;716;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T19:30:11.021Z"
jobshop_demirkol_cscmax_50_15_8;1;Solution;6488;6080;3600.00;1470.08;0.01;699;5800933;2538;2579727356;625786565;42836736;0;750;716;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T19:41:52.752Z"
jobshop_demirkol_cscmax_50_20_1;1;Solution;7076;6338;3600.00;2429.13;0.01;827;4232295;3734;2513705687;502549658;62191232;0;1000;971;"Optal 0.9.1.9 6f4f13f0";4;3600;"--timeLimit 3600 --nbWorkers 4 --randomSeed 1 --logLevel 0 --worker0.searchType FDS --worker0.noOverlapPropagationLevel 4 --worker0.cumulPropagationLevel 3 --worker1.searchType FDS --worker1.noOverlapPropagationLevel 4 --worker1.cumulPropagationLevel 3 ";"AMD Ryzen 9 5950X";"2023-07-04T20:28:23.645Z"
